Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
6842013;11657867;11496667;2;KU;52;N; ;0;ei henkilövahinkoa;SF ;            ;18
6866585;11657868;11496668;1;KU;25;N; ;0;ei henkilövahinkoa;SF ;            ;7
6866585;11657869;11496669;2;KU;21;M; ;0;ei henkilövahinkoa;SF ;            ;
6890492;11657870;11496670;1;KU;42;M; ;0;ei henkilövahinkoa;SF ;            ;24
6890493;11657873;11496673;1;KU;30;N; ;0;ei henkilövahinkoa;SF ;B           ;6
6890493;11657874;11496674;2;KU;22;N; ;0;ei henkilövahinkoa;SF ;B           ;4
6869028;11657877;11496677;1;KU;19;N;X;L;loukkaantunut;SF ;B           ;1
6869029;11657878;11496678;1;KU;31;M; ;0;ei henkilövahinkoa;SF ;            ;13
6869029;11657879;11496679;2;KU;16;M; ;L;loukkaantunut;SF ;            ;1
6869029;11657879;11496680;2;MA;15;M; ;L;loukkaantunut;SF ;            ;
6867639;11657880;11496681;1;KU;95;M; ;L;loukkaantunut;SF ;            ;
