Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Kuollut;Loukk;Ajoneuvika;Ajoneuvmas
6842045;11667353;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;965
6842045;11667354;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;1;7;102
6911948;11667365;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;0;4;112
6903353;11667366;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;22;840
6903353;11667367;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1290
6902710;11662949;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;16;1340
6902710;11667368;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;46;2000
6891584;11662950;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;19;1565
6891584;11662951;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6791519;11662954;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1214
6791519;11662955;2;21;moottoripyörä;-1;Ei arvoa;-1;Ei arvoa;1;0;0;210
6788433;11662956;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;2;1576
6788433;11662957;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;;
6912146;11662966;1;20;kevytmoottoripyörä(<125cc);-1;Ei arvoa;-1;Ei arvoa;0;1;16;110
6912146;11662967;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;5;1532
6919863;11662969;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;0;9;104
6919863;11662970;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;8;1505
6919864;11662974;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;0;30;1930
6919864;11662975;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1380
6919864;11662976;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1200
6890520;11662977;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;0;0;107
6890520;11662978;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;0;6;97
6814598;11662979;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;2;;
6912916;11662981;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1457
6912916;11662982;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1330
6912147;11662983;1;32;kuorma-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;0;0;5;13480
6912147;11662984;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;1;0;;
6902263;11662987;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;9;1437
6902263;11662988;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;1;5;96
6854341;11663001;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1615
6854341;11663002;2;40;traktori;2;varsinainen perävaunu;-1;Ei arvoa;0;0;2;5590
6903358;11663003;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;800
6911952;11663004;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;7;1395
6891697;11663005;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1025
6891697;11663006;2;40;traktori;-1;Ei arvoa;-1;Ei arvoa;0;0;5;4950
6806208;11663007;1;32;kuorma-auto;2;varsinainen perävaunu;1;ammattimaisessa ajossa;0;0;13;11460
6913345;11663014;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1430
6913345;11663015;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;5;915
6843986;11658744;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6843986;11663018;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;23;1070
6911953;11658745;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;3;1941
6911953;11658746;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;2;8;93
6790576;11658747;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1410
6866485;11658756;1;32;kuorma-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;0;0;13;12550
6844827;11658757;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1215
6844827;11658758;2;40;traktori;-1;Ei arvoa;-1;Ei arvoa;0;0;7;5000
6843987;11658761;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;13;1102
6843987;11658762;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;0;13;1870
6868345;11658764;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;965
6868345;11658765;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;3;1476
6862330;11658766;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1080
6862330;11658767;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1216
6843988;11658768;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1475
6843988;11658769;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;13;1520
